t,max_h,M_s
7800.0,-9.822872507286887,486.0
7820.0,-9.79855052384247,422.0
7840.0,-9.772681235681935,492.0
7860.0,-9.74526872786577,498.0
7880.0,-9.71631732914674,388.0
7900.0,-9.68583161128631,398.0
7920.0,-9.653816388332737,332.0
7940.0,-9.62027671586086,390.0
7960.0,-9.585217890173759,226.0
7980.0,-9.54864544746643,328.0
8000.0,-9.510565162951536,358.0
8020.0,-9.470983049947444,414.0
8040.0,-9.429905358928645,318.0
8060.0,-9.38733857653874,318.0
8080.0,-9.343289424566123,304.0
8100.0,-9.297764858882516,294.0
8120.0,-9.25077206834458,180.0
8140.0,-9.202318473658705,196.0
8160.0,-9.152411726209177,260.0
8180.0,-9.101059706849957,278.0
8200.0,-9.048270524660197,208.0
8220.0,-8.994052515663714,186.0
8240.0,-8.938414241512637,146.0
8260.0,-8.881364488135443,140.0
8280.0,-8.822912264349535,82.0
8300.0,-8.763066800438638,26.0
8320.0,-8.701837546695257,28.0
8340.0,-8.639234171928354,-54.0
8360.0,-8.575266561936523,-88.0
8380.0,-8.509944817946918,-56.0
8400.0,-8.44327925502015,-152.0
8420.0,-8.37528040042142,-136.0
8440.0,-8.305958991958128,-164.0
8460.0,-8.23532597628427,-142.0
8480.0,-8.163392507171842,-176.0
8500.0,-8.090169943749476,-254.0
8520.0,-8.015669848708766,-330.0
8540.0,-7.939903986478358,-348.0
8560.0,-7.862884321366188,-408.0
8580.0,-7.784623015670232,-438.0
8600.0,-7.705132427757896,-376.0
8620.0,-7.624425110114482,-442.0
8640.0,-7.54251380736104,-460.0
8660.0,-7.459411454241823,-518.0
8680.0,-7.375131173581741,-572.0
8700.0,-7.289686274214116,-674.0
8720.0,-7.203090248879068,-646.0
8740.0,-7.115356772092857,-688.0
8760.0,-7.026499697988497,-800.0
8780.0,-6.936533058128047,-860.0
8800.0,-6.84547105928689,-864.0
8820.0,-6.753328081210245,-864.0
8840.0,-6.660118674342518,-914.0
8860.0,-6.565857557529565,-984.0
8880.0,-6.470559615694444,-956.0
8900.0,-6.374239897486897,-1000.0
8920.0,-6.276913612907002,-1020.0
8940.0,-6.1785961309033475,-1042.0
8960.0,-6.079302976946057,-1058.0
8980.0,-5.979049830575192,-1106.0
9000.0,-5.877852522924734,-1078.0
9020.0,-5.775727034222678,-1148.0
9040.0,-5.672689491267565,-1242.0
9060.0,-5.568756164881879,-1252.0
9080.0,-5.4639434673426965,-1258.0
9100.0,-5.358267949789964,-1330.0
9120.0,-5.251746299612954,-1302.0
9140.0,-5.144395337815068,-1360.0
9160.0,-5.03623201635761,-1326.0
9180.0,-4.927273415482917,-1512.0
9200.0,-4.817536741017161,-1506.0
9220.0,-4.707039321653325,-1532.0
9240.0,-4.595798606214877,-1572.0
9260.0,-4.483832160900328,-1610.0
9280.0,-4.371157666509334,-1682.0
9300.0,-4.25779291565073,-1762.0
9320.0,-4.143755809932844,-1890.0
9340.0,-4.029064357136629,-1904.0
9360.0,-3.913736668372025,-1870.0
9380.0,-3.7977909552180114,-1956.0
9400.0,-3.681245526846787,-1956.0
9420.0,-3.564118787132513,-1996.0
9440.0,-3.4464292317451672,-2050.0
9460.0,-3.3281954452298708,-2042.0
9480.0,-3.209436098072098,-2120.0
9500.0,-3.0901699437494767,-2148.0
9520.0,-2.9704158157703504,-2238.0
9540.0,-2.8501926246997615,-2284.0
9560.0,-2.7295193551732515,-2298.0
9580.0,-2.6084150628989677,-2384.0
9600.0,-2.4868988716485534,-2398.0
9620.0,-2.3649899702372514,-2420.0
9640.0,-2.2427076094938156,-2494.0
9660.0,-2.120071099220549,-2494.0
9680.0,-1.9970998051440718,-2488.0
9700.0,-1.873813145857247,-2484.0
9720.0,-1.7502305897527686,-2492.0
9740.0,-1.6263716519488434,-2492.0
9760.0,-1.5022558912075679,-2494.0
9780.0,-1.3779029068463768,-2496.0
9800.0,-1.2533323356430466,-2496.0
9820.0,-1.12856384873482,-2500.0
9840.0,-1.0036171485121508,-2500.0
9860.0,-0.8785119655074327,-2496.0
9880.0,-0.7532680552793272,-2498.0
9900.0,-0.6279051952931326,-2500.0
9920.0,-0.5024431817977022,-2500.0
9940.0,-0.376901826699351,-2498.0
9960.0,-0.25130095443337935,-2498.0
9980.0,-0.12566039883352959,-2496.0
10000.0,-2.4492935982947065e-15,-2498.0
10020.0,0.1256603988335247,-2494.0
10040.0,0.25130095443337447,-2496.0
10060.0,0.37690182669933725,-2494.0
10080.0,0.5024431817976973,-2498.0
10100.0,0.6279051952931367,-2498.0
10120.0,0.7532680552793223,-2496.0
10140.0,0.8785119655074279,-2500.0
10160.0,1.0036171485121461,-2498.0
10180.0,1.128563848734815,-2498.0
10200.0,1.2533323356430417,-2496.0
10220.0,1.377902906846381,-2500.0
10240.0,1.502255891207572,-2498.0
10260.0,1.6263716519488298,-2492.0
10280.0,1.750230589752755,-2492.0
10300.0,1.8738131458572507,-2492.0
10320.0,1.997099805144067,-2484.0
10340.0,2.1200710992205445,-2492.0
10360.0,2.2427076094938108,-2478.0
10380.0,2.364989970237238,-2486.0
10400.0,2.48689887164854,-2486.0
10420.0,2.6084150628989713,-2476.0
10440.0,2.7295193551732466,-2476.0
10460.0,2.8501926246997566,-2470.0
10480.0,2.970415815770346,-2464.0
10500.0,3.090169943749472,-2460.0
10520.0,3.209436098072085,-2446.0
10540.0,3.328195445229858,-2428.0
10560.0,3.446429231745163,-2438.0
10580.0,3.5641187871325086,-2430.0
10600.0,3.681245526846782,-2398.0
10620.0,3.7977909552180145,-2384.0
10640.0,3.9137366683720205,-2342.0
10660.0,4.029064357136624,-2332.0
10680.0,4.1437558099328395,-2322.0
10700.0,4.257792915650725,-2294.0
10720.0,4.371157666509321,-2282.0
10740.0,4.483832160900316,-2264.0
10760.0,4.595798606214872,-2232.0
10780.0,4.707039321653321,-2242.0
10800.0,4.817536741017157,-2174.0
10820.0,4.9272734154829205,-2160.0
10840.0,5.036232016357607,-2174.0
10860.0,5.144395337815063,-2136.0
10880.0,5.251746299612957,-2104.0
10900.0,5.358267949789966,-2092.0
10920.0,5.463943467342684,-2068.0
10940.0,5.568756164881875,-2000.0
10960.0,5.672689491267561,-2024.0
10980.0,5.775727034222665,-1960.0
11000.0,5.877852522924723,-1964.0
11020.0,5.979049830575195,-1874.0
11040.0,6.079302976946054,-1902.0
11060.0,6.178596130903344,-1834.0
11080.0,6.276913612907006,-1792.0
11100.0,6.374239897486892,-1782.0
11120.0,6.470559615694439,-1722.0
11140.0,6.565857557529561,-1660.0
11160.0,6.660118674342515,-1700.0
11180.0,6.753328081210236,-1642.0
11200.0,6.845471059286879,-1670.0
11220.0,6.936533058128043,-1640.0
11240.0,7.026499697988493,-1586.0
11260.0,7.115356772092856,-1580.0
11280.0,7.203090248879072,-1562.0
11300.0,7.289686274214112,-1534.0
11320.0,7.375131173581737,-1524.0
11340.0,7.45941145424182,-1490.0
11360.0,7.542513807361038,-1470.0
11380.0,7.624425110114473,-1466.0
11400.0,7.705132427757887,-1448.0
11420.0,7.78462301567023,-1382.0
11440.0,7.86288432136619,-1300.0
11460.0,7.939903986478356,-1340.0
11480.0,8.015669848708768,-1316.0
11500.0,8.090169943749473,-1266.0
11520.0,8.163392507171839,-1292.0
11540.0,8.235325976284273,-1276.0
11560.0,8.305958991958127,-1246.0
11580.0,8.375280400421413,-1190.0
11600.0,8.443279255020148,-1204.0
11620.0,8.509944817946916,-1218.0
11640.0,8.575266561936516,-1252.0
11660.0,8.639234171928356,-1200.0
11680.0,8.70183754669526,-1174.0
11700.0,8.763066800438637,-1194.0
11720.0,8.822912264349533,-1178.0
11740.0,8.881364488135446,-1092.0
11760.0,8.938414241512634,-1014.0
11780.0,8.994052515663707,-950.0
11800.0,9.048270524660193,-918.0
11820.0,9.101059706849956,-914.0
11840.0,9.15241172620917,-840.0
11860.0,9.2023184736587,-730.0
11880.0,9.250772068344581,-670.0
11900.0,9.297764858882514,-672.0
11920.0,9.343289424566121,-638.0
11940.0,9.387338576538742,-640.0
11960.0,9.429905358928643,-642.0
11980.0,9.470983049947442,-614.0
12000.0,9.510565162951535,-638.0
12020.0,9.548645447466429,-472.0
12040.0,9.585217890173755,-468.0
12060.0,9.620276715860856,-386.0
12080.0,9.653816388332736,-398.0
12100.0,9.685831611286313,-438.0
12120.0,9.71631732914674,-370.0
12140.0,9.745268727865772,-374.0
12160.0,9.772681235681933,-438.0
12180.0,9.798550523842469,-388.0
12200.0,9.822872507286887,-402.0
12220.0,9.845643345292054,-508.0
12240.0,9.86685944207868,-438.0
12260.0,9.88651744737914,-408.0
12280.0,9.904614256966513,-380.0
12300.0,9.921147013144777,-380.0
12320.0,9.936113105200086,-340.0
12340.0,9.949510169813001,-346.0
12360.0,9.961336091431725,-388.0
12380.0,9.97158900260614,-382.0
12400.0,9.980267284282716,-366.0
12420.0,9.987369566060174,-466.0
12440.0,9.992894726405892,-386.0
12460.0,9.996841892833,-414.0
12480.0,9.99921044203816,-356.0
12500.0,10.0,-438.0
12520.0,9.99921044203816,-448.0
12540.0,9.996841892833,-370.0
12560.0,9.992894726405892,-370.0
12580.0,9.987369566060174,-356.0
12600.0,9.980267284282716,-358.0
12620.0,9.97158900260614,-428.0
12640.0,9.961336091431725,-404.0
12660.0,9.949510169813001,-478.0
12680.0,9.936113105200084,-492.0
12700.0,9.921147013144779,-536.0
12720.0,9.904614256966513,-496.0
12740.0,9.886517447379141,-502.0
12760.0,9.866859442078681,-600.0
12780.0,9.845643345292054,-548.0
