i,j,r,pot,Fieldx,Fieldy
3,19,21.587033144922902,0.024387052781652534,0.008261849002261144,-0.0007415813003322468
3,20,21.37755832643195,0.025065500704965247,0.008499718350457115,-0.000609635693441966
3,21,21.213203435596427,0.025606324168536466,0.008689825325745703,-0.00046723920664346573
3,22,21.095023109728988,0.02599997911825218,0.0088284801712455,-0.00031645654862410937
3,23,21.02379604162864,0.026239237265784685,0.008912868387199166,-0.00015980411674869528
3,24,21.0,0.02631958735174957,0.008941224828205047,-1.286795395499113e-07
3,25,21.02379604162864,0.026239494624863784,0.008912947573365715,0.00015954835434682513
3,26,21.095023109728988,0.02600049064305592,0.008828637561055883,0.0003162055667997078
3,27,21.213203435596427,0.02560708349126437,0.008690058959909833,0.00046699616112512964
3,28,21.37755832643195,0.02506649832080566,0.008500025304429093,0.0006094036934078551
3,29,21.587033144922902,0.02438827610444866,0.008262225403458154,0.0007413633901506046
3,30,21.840329667841555,0.02358377154050445,0.007981009135164625,0.0008613393866606957
3,31,22.135943621178654,0.022665597331127267,0.007661155571857704,0.0009683550470144381
3,32,22.47220505424423,0.021647061446475574,0.00730764456965023,0.0010619798094924117
3,33,22.847319317591726,0.020541637712142444,0.006925448946205738,0.0011422806313862843
3,34,23.259406699226016,0.019362500183703005,0.006519358946828596,0.0012097485938428396
3,35,23.706539182259394,0.018122140524456765,0.006093845096660622,0.00126521166023825
3,36,24.186773244895647,0.016832076863226506,0.00565296065788531,0.0013097434377976848
3,37,24.698178070456937,0.015502653648861395,0.00520028124389302,0.0013445757038312014
3,38,25.238858928247925,0.014142925455564103,0.00473887680899365,0.0013710200215217641
3,39,25.80697580112788,0.012760613605817867,0.004271310100154614,0.0013904014387805391
3,40,26.40075756488817,0.011362122578003024,0.003799655462099605,0.0014040053141867632
3,41,27.018512172212592,0.00995260297744434,0.003325532330510479,0.0014130368645388072
3,42,27.65863337187866,0.00853604884892541,0.0028501485599732265,0.0014185920805416825
3,43,28.319604517012593,0.0071154188163609754,0.0023743497011630677,0.0014216381429992177
3,44,29.0,0.005692772562926975,0.0018986713173514244,0.001423001294168856
3,45,29.698484809834994,0.004269416228023263,0.0014233923227058732,0.0014233601776505807
3,46,30.4138126514911,0.002846052207625813,0.0009485880870729997,0.001423242868260642
3,47,31.144823004794873,0.0014229304915019795,0.00047418266776141677,0.0014230261038129066
3,48,31.89043743820395,0.0,0.0,0.0007114652457509898
4,0,31.240998703626616,0.0,0.0,-0.000948245448736178
4,1,30.479501308256342,0.001896490897472356,0.00047371920021922797,-0.0018967610411303188
4,2,29.732137494637012,0.0037935220822606377,0.0009478478650767333,-0.001897453114790098
4,3,29.0,0.005691397127052552,0.0014227381981634112,-0.0018982481128292795
4,4,28.284271247461902,0.007590018307919197,0.001898643340911178,-0.0018986433409111797
4,5,27.586228448267445,0.009488683808874911,0.002375665806598773,-0.0018979325411739721
4,6,26.90724809414742,0.011385883390267141,0.002853703712482028,-0.0018952051246187663
4,7,26.248809496813376,0.013279094058112444,0.003332394570010312,-0.001889347845625237
4,8,25.612496949731394,0.015164579081517615,0.003811056873330076,-0.0018790509683277983
4,9,25.0,0.01703719599476804,0.004288630390972564,-0.0018628214339005108
4,10,24.413111231467404,0.018890221949318636,0.0047636169409095335,-0.001839005917433979
4,11,23.853720883753127,0.020715207829635998,0.005234024528693007,-0.0018058268717899197
4,12,23.323807579381203,0.022501875692898476,0.005697319031916793,-0.0017614345660258678
4,13,22.825424421026653,0.024238076961687734,0.006150389047902388,-0.0017039775786968012
4,14,22.360679774997898,0.025909830850292078,0.0065895309308160194,-0.0016316930298355993
4,15,21.93171219946131,0.027501463021358932,0.007010462169330668,-0.0015430158815470229
4,16,21.540659228538015,0.028995862613386124,0.007408371721391548,-0.0014367038414069867
4,17,21.18962010041709,0.030374870704172906,0.007778015254796149,-0.001311970863639919
4,18,20.8806130178211,0.03161980434066596,0.0081138609414133,-0.0011686183120302555
4,19,20.615528128088304,0.03271210732823342,0.00841028713409216,-0.0010071491893409792
4,20,20.396078054371138,0.03363410271934792,0.008661826851305359,-0.0008288484116658126
4,21,20.223748416156685,0.03436980415156504,0.008863445991624279,-0.0006358120273746784
4,22,20.09975124224178,0.03490572677409728,0.009010833808876961,-0.00043091151674704356
4,23,20.024984394500787,0.03523162718505913,0.009100677295737977,-0.0002176862421459265
4,24,20.0,0.03534109925838913,0.009130887957701997,-1.671275511559711e-07
4,25,20.024984394500787,0.03523196144016144,0.009100751818720049,0.00021735406074937375
4,26,20.09975124224178,0.03490639113689038,0.009010981930233026,0.00043058554426776696
4,27,20.223748416156685,0.03437079035162591,0.008863665867441526,0.0006354963625157875
