time,f
529,-275.5522164648896
530,-275.5524455230241
531,-275.5526736579701
532,-275.55290087469666
533,-275.5531271781389
534,-275.5533525731974
535,-275.5535770647391
536,-275.55380065759744
537,-275.55402335657254
538,-275.55424516643154
539,-275.554466091909
540,-275.55468613770705
541,-275.5549053084957
542,-275.55512360891316
543,-275.5553410435661
544,-275.5555576170299
545,-275.5557733338487
546,-275.5559881985365
547,-275.55620221557615
548,-275.5564153894205
549,-275.5566277244928
550,-275.55683922518597
551,-275.5570498958639
552,-275.5572597408611
553,-275.5574687644833
554,-275.55767697100714
555,-275.5578843646813
556,-275.5580909497257
557,-275.55829673033253
558,-275.55850171066623
559,-275.5587058948637
560,-275.5589092870344
561,-275.55911189126084
562,-275.55931371159863
563,-275.55951475207667
564,-275.55971501669774
565,-275.55991450943804
566,-275.5601132342479
567,-275.5603111950522
568,-275.56050839574976
569,-275.5607048402145
570,-275.5609005322949
571,-275.5610954758147
572,-275.5612896745728
573,-275.5614831323436
574,-275.5616758528773
575,-275.5618678398996
576,-275.5620590971127
577,-275.5622496281948
578,-275.5624394368006
579,-275.56262852656147
580,-275.56281690108557
581,-275.5630045639581
582,-275.56319151874135
583,-275.56337776897516
584,-275.5635633181767
585,-275.5637481698411
586,-275.5639323274413
587,-275.5641157944283
588,-275.5642985742313
589,-275.56448067025815
590,-275.56466208589495
591,-275.56484282450697
592,-275.5650228894381
593,-275.56520228401155
594,-275.56538101152944
595,-275.56555907527377
596,-275.56573647850587
597,-275.5659132244668
598,-275.56608931637754
599,-275.56626475743917
600,-275.56643955083297
601,-275.5666136997205
602,-275.56678720724403
603,-275.56696007652624
604,-275.5671323106708
605,-275.56730391276216
606,-275.5674748858661
607,-275.56764523302957
608,-275.56781495728075
609,-275.56798406162955
610,-275.56815254906746
611,-275.5683204225678
612,-275.56848768508587
613,-275.568654339559
614,-275.5688203889067
615,-275.56898583603095
616,-275.56915068381625
617,-275.56931493512946
618,-275.5694785928205
619,-275.5696416597219
620,-275.5698041386494
621,-275.5699660324017
622,-275.57012734376093
623,-275.5702880754925
624,-275.5704482303453
625,-275.570607811052
626,-275.57076682032874
627,-275.57092526087575
628,-275.57108313537725
629,-275.57124044650146
630,-275.5713971969009
631,-275.5715533892122
632,-275.57170902605685
633,-275.57186411004056
634,-275.57201864375395
635,-275.5721726297721
636,-275.57232607065544
637,-275.572478968949
638,-275.5726313271832
639,-275.57278314787357
640,-275.5729344335209
641,-275.5730851866116
642,-275.5732354096175
643,-275.573385104996
644,-275.5735342751905
645,-275.57368292263004
646,-275.57383104972956
647,-275.5739786588903
