i,j,phi,Ex,Ey
5,47,4.77298547135864e-05,4.782626271542477e-05,-9.810308557187023e-06
5,48,0.0,2.38649273567932e-05,-0.0
6,0,0.0,-2.8507392360328526e-05,-0.0
6,1,5.701478472065705e-05,-5.716958519029843e-05,-9.861152211641379e-06
6,2,0.00011433917038059686,-5.7615549438121366e-05,-1.9799875887418995e-05
6,3,0.0001722458835968998,-5.8324549718860384e-05,-2.9888339339122132e-05
6,4,0.00023098826981831762,-5.927201151075766e-05,-4.019631416736967e-05
6,5,0.0002907899066184151,-6.0422512966385445e-05,-5.0789709644246284e-05
6,6,0.0003518332957510885,-6.17287599761933e-05,-6.17287599761933e-05
6,7,0.0004142474265708017,-6.313040646707625e-05,-7.306574456211713e-05
6,8,0.000478094108685241,-6.455284997017809e-05,-8.48421253831124e-05
6,9,0.0005433531265111579,-6.590618849080149e-05,-9.708500111887952e-05
6,10,0.000609906485666844,-6.708459280211943e-05,-0.00010980281269207595
6,11,0.0006775223121153967,-6.796642457126571e-05,-0.00012298030010887435
6,12,0.0007458393348093754,-6.841550571529982e-05,-0.00013657281747688513
6,13,0.0008143533235459964,-6.828400065129477e-05,-0.00015050027286780244
6,14,0.000882407336111965,-6.7417383406427e-05,-0.00016464117796611823
6,15,0.0009491880903588504,-6.566188876079565e-05,-0.00017882756265118243
6,16,0.0010137311136335563,-6.287464763880156e-05,-0.00019284180336753284
6,17,0.0010749373856364535,-5.893634351657477e-05,-0.000206416670741084
6,18,0.0011316038006667058,-5.3765684628336876e-05,-0.00021924002234408345
6,19,0.0011824687548931273,-4.7334304046746335e-05,-0.00023096541940789613
6,20,0.0012262724087601985,-3.967999428679389e-05,-0.0002412293971007309
6,21,0.001261828743466715,-3.091566550580472e-05,-0.00024967508910507313
6,22,0.001288103739771808,-2.1231361439080407e-05,-0.0002559804627492768
6,23,0.0013042914663448759,-1.0887323729417411e-05,-0.00025988784306943305
6,24,0.0013098783872306427,-1.9754051328328606e-07,-0.0002612301967890889
6,25,0.0013046865473714424,1.0494785807613639e-05,-0.0002599493970712593
6,26,0.0012888888156154155,2.0846434424199234e-05,-0.0002561027783688364
6,27,0.001262993678523044,3.054336210329229e-05,-0.00024985658730626885
6,28,0.0012278020914088309,3.932523579074456e-05,-0.00024146772362076377
6,29,0.0011843432069415548,4.70018846450204e-05,-0.00023125746179848244
6,30,0.00113379832211879,5.3460236565475725e-05,-0.00021958193251371002
6,31,0.0010774227338106034,5.8662303343051e-05,-0.0002068038928471354
6,32,0.001016473715432688,6.263622376339765e-05,-0.00019326910687245835
6,33,0.0009521502862838081,6.546303050924794e-05,-0.00017928908032415234
6,34,0.0008855476544141922,6.726175177429689e-05,-0.00016513044858113267
6,35,0.0008176267827352143,6.817494092272765e-05,-0.00015101028832113816
