t,x,y
397,24.2,24.8
398,24.4,25.2
399,24.8,25.2
400,25.2,25.4
401,25.2,25.8
402,25.4,26.2
403,25.8,26.2
404,26.2,26.4
405,26.2,26.8
406,26.4,27.2
407,26.8,27.2
408,27.2,27.4
409,27.2,27.8
410,27.4,28.2
411,27.8,28.2
412,28.2,28.4
413,28.2,28.8
414,28.4,29.2
415,28.8,29.2
416,29.2,29.4
417,29.2,29.8
418,29.4,30.2
419,29.8,30.2
420,30.2,30.4
421,30.2,30.8
422,30.4,31.2
423,30.8,31.2
424,31.2,31.4
425,31.2,31.8
426,31.4,32.2
427,31.8,32.2
428,32.2,32.4
429,32.2,32.8
430,32.4,33.2
431,32.8,33.2
432,33.2,33.4
433,33.2,33.8
434,33.4,34.2
435,33.8,34.2
436,34.2,34.4
437,34.2,34.8
438,34.4,35.2
439,34.8,35.2
440,35.2,35.4
441,35.2,35.8
442,35.4,36.2
443,35.8,36.2
444,36.2,36.4
445,36.2,36.8
446,36.4,37.2
447,36.8,37.2
448,37.2,37.4
449,37.2,37.8
450,37.4,38.2
451,37.8,38.2
452,38.2,38.4
453,38.2,38.8
454,38.4,39.2
455,38.8,39.2
456,39.2,39.4
457,39.2,39.8
458,39.4,40.2
459,39.8,40.2
460,40.2,40.4
461,40.2,40.8
462,40.4,41.2
463,40.8,41.2
464,41.2,41.4
465,41.2,41.8
466,41.4,42.2
467,41.8,42.2
468,42.2,42.4
469,42.2,42.8
470,42.4,43.2
471,42.8,43.2
472,43.2,43.4
473,43.2,43.8
474,43.4,44.2
475,43.8,44.2
476,44.2,44.4
477,44.2,44.8
478,44.4,45.2
479,44.8,45.2
480,45.2,45.4
481,45.2,45.8
482,45.4,46.2
483,45.8,46.2
484,46.2,46.4
485,46.2,46.8
486,46.4,47.2
487,46.8,47.2
488,47.2,47.4
489,47.2,47.8
490,47.4,48.2
491,47.8,48.2
492,48.2,48.4
503,0.8,1.2
504,1.2,1.4
505,1.2,1.8
506,1.4,2.2
507,1.8,2.2
508,2.2,2.4
509,2.2,2.8
510,2.4,3.2
511,2.8,3.2
512,3.2,3.4
513,3.2,3.8
514,3.4,4.2
515,3.8,4.2
516,4.2,4.4
517,4.2,4.8
518,4.4,5.2
519,4.8,5.2
520,5.2,5.4
521,5.2,5.8
522,5.4,6.2
523,5.8,6.2
524,6.2,6.4
525,6.2,6.8
526,6.4,7.2
527,6.8,7.2
528,7.2,7.4
529,7.2,7.8
530,7.4,8.2
531,7.8,8.2
532,8.2,8.4
533,8.2,8.8
534,8.4,9.2
535,8.8,9.2
536,9.2,9.4
537,9.2,9.8
538,9.4,10.2
539,9.8,10.2
540,10.2,10.4
541,10.2,10.8
542,10.4,11.2
543,10.8,11.2
544,11.2,11.4
545,11.2,11.8
546,11.4,12.2
547,11.8,12.2
548,12.2,12.4
549,12.2,12.8
550,12.4,13.2
551,12.8,13.2
552,13.2,13.4
553,13.2,13.8
554,13.4,14.2
555,13.8,14.2
556,14.2,14.4
557,14.2,14.8
558,14.4,15.2
559,14.8,15.2
560,15.2,15.4
561,15.2,15.8
562,15.4,16.2
563,15.8,16.2
564,16.2,16.4
565,16.2,16.8
566,16.4,17.2
567,16.8,17.2
568,17.2,17.4
569,17.2,17.8
570,17.4,18.2
571,17.8,18.2
572,18.2,18.4
573,18.2,18.8
574,18.4,19.2
575,18.8,19.2
576,19.2,19.4
577,19.2,19.8
578,19.4,20.2
579,19.8,20.2
580,20.2,20.4
581,20.2,20.8
582,20.4,21.2
583,20.8,21.2
584,21.2,21.4
585,21.2,21.8
586,21.4,22.2
587,21.8,22.2
588,22.2,22.4
589,22.2,22.8
590,22.4,23.2
591,22.8,23.2
592,23.2,23.4
593,23.2,23.8
594,23.4,24.2
595,23.8,24.2
596,24.2,24.4
597,24.2,24.8
598,24.4,25.2
599,24.8,25.2
600,25.2,25.4
601,25.2,25.8
602,25.4,26.2
603,25.8,26.2
604,26.2,26.4
605,26.2,26.8
606,26.4,27.2
607,26.8,27.2
608,27.2,27.4
609,27.2,27.8
610,27.4,28.2
611,27.8,28.2
612,28.2,28.4
613,28.2,28.8
614,28.4,29.2
615,28.8,29.2
616,29.2,29.4
617,29.2,29.8
618,29.4,30.2
619,29.8,30.2
620,30.2,30.4
621,30.2,30.8
622,30.4,31.2
623,30.8,31.2
624,31.2,31.4
625,31.2,31.8
626,31.4,32.2
627,31.8,32.2
628,32.2,32.4
629,32.2,32.8
630,32.4,33.2
631,32.8,33.2
632,33.2,33.4
633,33.2,33.8
634,33.4,34.2
635,33.8,34.2
636,34.2,34.4
637,34.2,34.8
638,34.4,35.2
639,34.8,35.2
640,35.2,35.4
641,35.2,35.8
642,35.4,36.2
643,35.8,36.2
644,36.2,36.4
645,36.2,36.8
646,36.4,37.2
647,36.8,37.2
648,37.2,37.4
649,37.2,37.8
650,37.4,38.2
651,37.8,38.2
652,38.2,38.4
653,38.2,38.8
654,38.4,39.2
655,38.8,39.2
656,39.2,39.4
657,39.2,39.8
658,39.4,40.2
659,39.8,40.2
660,40.2,40.4
661,40.2,40.8
662,40.4,41.2
663,40.8,41.2
664,41.2,41.4
665,41.2,41.8
666,41.4,42.2
667,41.8,42.2
668,42.2,42.4
669,42.2,42.8
670,42.4,43.2
671,42.8,43.2
672,43.2,43.4
673,43.2,43.8
674,43.4,44.2
675,43.8,44.2
676,44.2,44.4
677,44.2,44.8
678,44.4,45.2
679,44.8,45.2
680,45.2,45.4
681,45.2,45.8
682,45.4,46.2
683,45.8,46.2
684,46.2,46.4
685,46.2,46.8
686,46.4,47.2
687,46.8,47.2
688,47.2,47.4
689,47.2,47.8
690,47.4,48.2
691,47.8,48.2
692,48.2,48.4
703,0.8,1.2
704,1.2,1.4
705,1.2,1.8
706,1.4,2.2
707,1.8,2.2
